Region,Port,Koordinat,Masuk Alur ,Lebar Alur,Jlh Jembatan,Jenis Port,Pemilik Port,Antri Muat (hari),Jlh Dermaga,Pjg Dermaga,Draft,DWT,Siklus Pasang,Loading Method,Loading Rate (MT/jam),Shipper,,
Kalimantan Barat,Matan (Melano),"-1.3817799, 110.4618014",Ya,170 M,1,TUKS,,1,,,,,,Truck Loosing,50,,,
Kalimantan Tengah,Kumai - TL,,Ya,220 M,1,TUKS,,1,,,,,,Truck Loosing,50,,,
Kalimantan Tengah,Kumai - PL,"-2.626946, 111.803561",Ya,600 M,0,Umum/TUKS,,2,,,5.8,,,Truck Loosing,40,,,
Kalimantan Tengah,Bagendang - PL,"-2.626946, 111.803561",Ya,600 M,0,Umum/TUKS,,2,,,5.8,,,Pipe Line,150,,,
Kalimantan Tengah,Bagendang - TL,"-2.717689, 112.928358",Ya,600 M,0,Umum,Pelindo 3,2,2,220 M,5.0,6000,,Pipe Line,150,"Agro Hope, Musirawas,
Menthobi ",,
Kalimantan Tengah,Luwuk Bunter,"-2.717689, 112.928358",Ya,600 M,0,Umum,Pelindo 3,2,2,220 M,5.0,6000,,Truck Loosing,50,"Agro Hope, Musirawas,
Menthobi ",,
Kalimantan Tengah,Kabuau,"-2.717689, 112.928358",Ya,600 M,0,Umum,Pelindo 3,2,2,220 M,5.0,6000,,Pipe Line,150,"Agro Hope, Musirawas,
Menthobi ",,
Kalimantan Tengah,Cempaga,,Ya,60 M,0,,,2,,,,,,Truck Loosing,45,,,
Kalimantan Tengah,Kuala Kapuas,"-2.0231996, 113.0288319",Ya,70 M,0,,,2,,,,,,Truck Loosing,30,,,
Kalimantan Tengah,Buntok,"-2.6664145, 114.4179018",Ya,490 M,0,TUKS,,2,,,,,,Truck Loosing,30,,,
Kalimantan Selatan,Satui,"-2.2296527, 114.9390559",Ya,75 M,0,TUKS,,2,,,,4000,,Truck Loosing,30,,,
Kalimantan Selatan,Marabahan,"-3.8028051, 115.482838",Ya,90 M,0,Umum,,1,,,,,,Truck Loosing,50,,,
Kalimantan Selatan,Tapin,"-2.8002101, 114.779285",Ya,260 M,0,TUKS,,2,,,,,,Truck Loosing,30,,,
Kalimantan Selatan,Pulau Laut,"-2.9066051670401443, 114.9055473066919",Ya,240 M,0,TUKS,,1,,,,,,Truck Loosing,30,,,
Kalimantan Timur,Maloy,,Tidak,,0,TUKS,,,,,,,,,,,,
Kalimantan Timur,Bontang,"0.9193333, 117.9873056",Ya,710 M,0,Umum,,1,,,,,,Pipe Line,150,,,
Kalimantan Timur,Pangadan,"0.040201453082065804, 117.52873975490958",Tidak,,0,TUKS,,2,,,,,,Pipe Line,50,,,
Kalimantan Timur,Samarinda,"1.331035230501352, 117.70471124545836",Ya,40 M,0,TUKS,,2,,,,,,Truck Loosing,30,,,
Kalimantan Timur,Lempake,"-0.5730724, 117.2136034",Ya,,0,Umum,,1,,,,,,Pipe Line,150,Rhea Kaltim,,
Kalimantan Timur,Palaran,"-0.3404751, 117.0685787",Ya,250 M,0,TUKS,,1,,,,,,Truck Loosing,50,Teladan,,
Kalimantan Timur,Kota Bangun,"-0.5730724, 117.2136034",Ya,800 M,0,Umum,,1,,,,,,Truck Loosing,50,,,
Kalimantan Timur,Muara Kaman,"-0.2288888889, 116.6186111",Ya,240 M,0,,,1,,,,,,Pipe Line,150,,,
Kalimantan Timur,Rantau Hempang,"-0.2319642, 116.8031467",Ya,330 M,1,TUKS,,1,,,,,,Pipe Line,150,,,
Kalimantan Timur,Sebulu,"-0.2009725, 116.7765119",Ya,330 M,1,TUKS,,1,,,,,,Pipe Line,150,,,
Kalimantan Timur,"Melak,kutai barat","-0.2830063, 117.0127716",Ya,250 M,1,TUKS,,1,,,,,,Pipe Line,150,,,
Kalimantan Timur,Buluminung,"-0.3006347, 115.8704202",Ya,220 M,2,TUKS,,4,,,,,,Truck Loosing,15,,,
Kalimantan Timur,Pondong,"-1.2176157, 116.7444044",Tidak,,0,Umum,,4,,,,,,Truck Loosing,50,,,
Kalimantan Timur,Tanah Grogot,"01 47,979 S /116 15,110 E",Ya,,,Umum,,4,1,300 METER,6 METER,3000,,Truck Loosing,45,"BWSS, AAMU, SARASWANTI ",,
Kalimantan Timur,Maloy - PL,"01 47,979 S /116 15,110 E",Ya,,,Umum,,2,,,,,,Truck Loosing,45,,,
Kalimantan Timur,Maloy - TL,"0.7716531, 117.9903666",Tidak,,0,TUKS,,1,,,,,,Pipe Line,150,,,
Kalimantan Timur,Sandaran,"0.7716531, 117.9903666",Tidak,,0,Umum,,1,,,,,,Truck Loosing,25,,,
Kalimantan Timur,Sangkulirang,"0.8651052, 118.479409",Tidak,200 M,0,,,2,,,,,,Pipe Line,150,,,
Kalimantan Timur,Pengandan,"1.2220418554104535, 117.8393126004969",Ya,,0,,,2,,,,,,Truck Loosing,30,,,
Kalimantan Timur,Tanjung Redeb,"1.22207, 117.8389836",Ya,100 M,0,,,2,,,,,,Pipe Line,150,Teladan ,,
Kalimantan Timur,Labanan,"2.1138997, 117.3705127",Ya,300 M,0,,,2,,,,,,Pipe Line,150,,,
Kalimantan Timur,Bulungan,"2.0922285, 117.3182701",Ya,280 M,1,TUKS,,1,,,,,,Pipe Line,150,TAP,,
Kalimantan Timur,Derawan,"3.1605083, 117.3044323",Ya,,0,TUKS,,2,,,,,,Pipe Line,150,,,
Kalimantan Timur,Salim Batu,"2.3417241, 118.0700404",Ya,,0,Umum,,2,1,150 meter,"1,9 - 2,2 M",,2 hari 1kali,Pipe Line,150,SKJ,,
Kalimantan Timur,Sesayap,"2°57'26""N 117°17'12""E",Ya,80 M,0,TUKS,,1,,,,,,Truck Loosing,30,,,
Kalimantan Utara,Tana Tidung,,Ya,,0,TUKS,,1,,,,,,Pipe Line,100,,,
Kalimantan Utara,Nunukan,"3.6060101, 117.0325742",Tidak,,0,TUKS,,2,,,,,,Pipe Line,150,,,
Kalimantan Utara,Sebakis,"4.1540708, 117.6979936",Tidak,,0,TUKS,,2,,,,,,Truck Loosing,25,,,
Kalimantan Utara,Sebuku,"4.0819712, 117.2506794",Ya,,0,TUKS,,2,1,± 100 meter,5 meter,6000,"Ya, 4 - 6 jam",Pipe Line,150,SIL,,
Kalimantan Utara,Simanggaris,"3.8264953, 117.3554717",Ya,,0,TUKS,,2,1,-,3.75,4000,"Ya, 1 hari",Truck Loosing,50,KHL,,
Sulawesi Tengah,Buol,"4.2104081, 117.2663227",Ya,60 M,0,TUKS,,2,1,± 150 meter,"3,70 meter",3000,"Ya, 4 - 6 jam",Pipe Line,150,NJL,,
Sulawesi Barat,Babana,"1.1913556, 121.4245626",Tidak,,0,,,1,,,,,,Pipe Line,150,,,
Sulawesi Barat,Belang-belang,"-2.0991971, 119.1938035",Tidak,,0,,,2,,,,,,Truck Loosing,25,,,
Sulawesi Barat,Bonemanjing,"-2.4741309, 119.1278044",Tidak,,0,,,2,,,,,,Truck Loosing,25,,,
Sulawesi Selatan,Palopo,,Tidak,,0,,,1,,,,,,Pipe Line,150,,,
Sulawesi Selatan,Mamuju,"-2.9830179, 120.2524646",Tidak,,0,Umum,,2,,,,3000,,Pipe Line,25,,,
Papua,Sorong,,Tidak,,0,,,3,,,,,,Truck Loosing,25,,,
Papua,Manokwari,"-1.0296753, 131.2387591",Tidak,,,,,1,,,,,,Pipe Line,150,,,
Papua,Asike,"-0.871762, 134.058143",Tidak,,,,,1,,,,,,Pipe Line,150,,,
Papua,Merauke,"-6.6442938, 140.4153904",Ya,,,,,1,,,,,,Pipe Line,150,,,
Papua,Nabire,"-8.4779929, 140.3890594",Ya,,,Umum,,3,,± 130 meter,"5,1 meter",,,Truck Loosing,15,,,
Malaysia,Port Klang,"-3.2468189, 135.3198105",Tidak,,,,,1,,,,,,Pipe Line,150,,,
Malaysia,Pasir Gudang,"3.00000, 101.40000",Tidak,,,,,1,,,,,,Pipe Line,150,,,
Kalimantan Timur,Balikpapan - PL,"1.470288, 103.9029689",Tidak,,,,,1,,,,,,Pipe Line,150,,,
Kalimantan Barat,RK Sei Deras,"1°06'36""S 116°44'13""E",Tidak,,,,,1,,,,,,Pipe Line,150,,,
,,"0°15'57""S 109°15'09""E",Ya,,,,,1,,,,,,Pipe Line,100,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
