Vessel Code,Vessel Name,Vessel Capacity (MT),Vessel Owner,Vessel Owner Group,Hull Type,Year of Creation,Heating,Lambung Type
MSBU88,SBU 88,,Sahabat Kapuas,SAHABAT KAPUAS GROUP,Barge,,No,DHDB
MSENGBRD,Senggora Bridge,"5,000",Lingga Marintama,LINGGA MARINTAMA,Barge,,No,DHDB
MSEN2501,Sentosa Jaya 2501,"3,500",Jambi Anugerah Mandiri,JAMBI ANUGERAH MANDIRI,Barge,,No,SHDB
MSIL,Sil Express,"1,250",Gurita Lintas Samudera,GURITA GROUP,Tanker,,No,DHDB
MSINERGI,Sinergi Permai 02,"3,000",Kencana Permai Jaya,PKPJ,Barge,,No,SHDB
MSUMKAP212,Sumber Kapuas 212,"2,500",Sumber Kapuas Marine,SUMBER KAPUAS MARINE,Barge,,No,SHSB
MSMB1,SMB I,"4,500",Setiakawan Makmur Bersama,SMB GROUP,Barge,,No,SHSB
MSMB2,SMB II,"1,500",Setiakawan Makmur Bersama,SMB GROUP,Barge,,No,SHSB
MSMS3002,SMS 3002,"2,650",Lintas Maritim Indonesia,LMI GROUP,Barge,,No,DHDB
MSUMKEN,Sumber Kencana II,"3,500",Sinarmas Louisdreyfus Maritime / PT SUMBER SURYA KENCANA INHU,SLM GROUP,Barge,,No,DHDB
MTERMER2,Teratai Merah II,"4,000",Cahaya Lintas Samudera,CAHAYA LINTAS SAMUDERA,Barge,,No,DHDB
MTIRTASARI,Tirtasari,"5,000",Sebatik Marine Servis,SEBATIK MARINE SERVIS,Tanker,,No,DHDB
MWIDM18,Widmarino 18,"3,500",Kencana Permai Jaya,PKPJ,Barge,,No,SHDB
MOC23238,Ocean Bay 23238,"3,500",PT. QUADRA SAMUDRA PERKASA,QUADRA,Barge,,No,DHDB
MDPM,DPM,"3,100",Pelayaran Kencana Permai Jaya / Zuri Bahari Utama,PKPJ,Barge,,No,DHDB
MWID3500,Widmarino 3500,"3,500",PT. SAMUDERA MULIA KARSA,SMK GROUP,Barge,,No,DHDB
MMAKXVI,Makmur Abadi XVI,,PT. PELAYARAN SAHABAT KAPUAS,SAHABAT KAPUAS GROUP,Barge,,No,SHSB
MMMAK10,Makmur Abadi X,"2,000",PT. PELAYARAN SAHABAT KAPUAS,SAHABAT KAPUAS GROUP,Barge,,No,SHDB
MSAHKAP5,Sahabat Kapuas V,"2,500",Sahabat Kapuas,SAHABAT KAPUAS GROUP,Barge,,No,SHSB
MSAHABKAP,Sahabat Kapuas XXII,"4,000",PT. PELAYARAN SAHABAT KAPUAS,SAHABAT KAPUAS GROUP,Barge,,No,SHSB
MDELTA.V08,DELTA VICTORY 08,"4,000",Mitha Samudra Wijaya,MITSI GROUP,SPOB,,No,DHDB
MMAK21,Makmur Abadi XXI,"3,000",Sahabat Kapuas,SAHABAT KAPUAS GROUP,Barge,,No,SHSB
MCOAST1908,COASTWAY 1908C,"1,800",Sumber Diri Sembilan,SDS,Barge,,No,SHSB
